59	5.432605660186E12
1	5.053081321758E12
57	3.464923128459E12
324	3.205426860817E12
119	3.115685891292E12
175	3.031304239321E12
44	2.800830296125E12
22	2.38700230062E12
10	2.33086131942E12
78	1.647023917424E12
70	1.02054518152E12
5194	9.5498278691E11
76	9.20927487779E11
61	9.13270967335E11
145	7.10093537836E11
174	6.71436875932E11
14	5.44999331132E11
385	4.79064369604E11
368	3.90666277038E11
852	3.85722537882E11
183	3.75908056828E11
279	3.75842035113E11
313	3.64884071268E11
348	3.57680627635E11
1176	3.28995843128E11
231	3.17543554802E11
4671	3.13346989029E11
155	2.98713644277E11
1831	2.90632652489E11
207	2.87625391616E11
515	2.71034852162E11
64	2.62406486909E11
5183	2.40594347316E11
102	2.39981367242E11
278	2.29909603613E11
284	1.98013118273E11
218	1.97705388222E11
7	1.74360191394E11
739	1.50768584171E11
832	1.50185338854E11
101	1.43014957623E11
3193	1.33446016755E11
585	1.26904026649E11
151	1.23940814382E11
177	1.1711016971E11
33	1.15421690148E11
162	1.09608450415E11
176	1.08968816875E11
10260	1.06933382108E11
169	1.0202955383E11
267	9.9864581025E10
485	9.7876673089E10
270	9.4442385239E10
194	9.4090126818E10
454	9.2364250715E10
268	8.8752779836E10
143	8.7002669457E10
309	8.5321442598E10
968	7.9443954713E10
336	7.932136009E10
1241	7.7272651466E10
60	7.6691113315E10
193	7.4361643171E10
545	7.3909104256E10
436	7.328725377E10
50	6.8235073881E10
459	6.8100711378E10
698	6.4242206994E10
209	6.1632217919E10
349	6.1195523082E10
334	5.6305815499E10
316	5.4921505437E10
262	5.4130245983E10
538	5.3363043272E10
196	5.2671300457E10
9	5.1922457188E10
148	5.155162324E10
173	5.0781193303E10
12	5.0683022373E10
963	4.121175227E10
486	4.0977673017E10
458	4.0239497551E10
311	3.7428306842E10
2843	3.7117787932E10
2116	3.6575296748E10
1971	3.6119300507E10
4327	3.4898173455E10
75	3.2640212394E10
20	3.2616389175E10
900	3.228187157E10
111	3.2105585898E10
190	3.0618662852E10
172	3.0211933105E10
